Half	Min	Passer	Pos	Rec	Region
1	1	15	5	3	2
1	1	3	2	3	4
1	1	3	4	15	2
1	1	15	2	3	4
1	1	3	4	8	4
1	1	8	4	3	4
1	1	3	4	5	4
1	1	5	4	11	3
1	1	11	3	18	5
1	1	18	5	5	4
1	2	5	4	11	5
1	2	11	5	18	7
1	2	18	7	14	5
1	2	14	5	-1	5
1	2	6	5	15	5
1	2	15	5	8	5
1	2	8	5	16	4
1	2	16	4	18	5
1	2	18	5	16	6
1	2	16	6	3	5
1	2	3	5	18	7
1	2	18	7	11	6
1	2	11	6	-1	9
1	3	5	4	1	1
1	3	1	1	5	4
1	3	5	4	16	4
1	3	16	4	8	4
1	3	8	4	8	5
1	3	8	5	3	4
1	3	3	4	5	4
1	3	5	4	14	5
1	3	14	5	5	4
1	3	5	4	14	4
1	3	14	4	6	5
1	3	6	5	3	5
1	3	3	5	18	6
1	4	18	6	8	6
1	4	8	6	6	7
1	4	6	7	14	6
1	4	14	6	11	6
1	4	11	6	18	6
1	4	18	6	-1	9
1	4	5	5	18	5
1	4	18	5	-1	5
1	5	18	5	11	5
1	5	11	5	14	5
1	5	14	5	16	4
1	5	16	4	3	4
1	5	3	4	3	5
1	5	3	5	15	5
1	5	15	5	3	4
1	5	3	4	1	1
1	5	1	1	5	4
1	5	5	4	16	4
1	6	16	4	8	4
1	6	8	4	3	4
1	6	3	4	6	7
1	6	6	7	8	5
1	6	8	5	18	6
1	6	18	6	-1	9
1	6	3	5	8	7
1	6	8	7	-1	7
1	6	5	5	3	4
1	6	3	4	8	5
1	6	8	5	15	5
1	6	15	5	3	4
1	6	3	4	18	5
1	6	18	5	18	7
1	6	18	7	7	9
1	6	7	9	0	9
1	7	8	5	15	5
1	7	15	5	5	4
1	7	5	4	3	4
1	7	3	4	3	5
1	7	3	5	-1	7
1	7	5	1	11	3
1	7	11	3	-1	5
1	8	16	4	18	5
1	8	18	5	6	5
1	8	6	5	-1	7
1	8	16	7	18	7
1	8	18	7	-1	7
1	8	3	4	16	4
1	8	16	4	3	4
1	8	3	4	8	4
1	8	8	4	16	5
1	8	16	5	18	7
1	8	18	7	15	8
1	9	15	8	18	7
1	9	18	7	-1	9
1	9	14	7	16	5
1	9	16	5	3	4
1	9	3	4	5	4
1	9	5	4	8	5
1	9	8	5	11	5
1	9	11	5	6	5
1	9	6	5	8	5
1	9	8	5	11	5
1	9	11	5	14	5
1	9	14	5	16	5
1	9	16	5	15	8
1	9	15	8	16	7
1	9	16	7	14	5
1	9	14	5	8	5
1	9	8	5	16	7
1	9	16	7	18	7
1	9	18	7	-1	7
1	10	3	2	1	1
1	10	1	1	8	4
1	10	8	4	14	4
1	10	14	4	-1	4
1	10	5	4	16	4
1	10	16	4	8	4
1	10	8	4	8	5
1	10	8	5	7	8
1	10	7	8	7	7
1	10	7	7	-1	7
1	10	18	7	8	7
1	10	8	7	15	8
1	10	15	8	8	5
1	10	8	5	11	5
1	10	11	5	6	6
1	11	6	6	8	7
1	11	8	7	6	7
1	11	6	7	15	8
1	11	15	8	-1	8
1	11	8	8	15	8
1	11	15	8	16	7
1	11	16	7	14	7
1	11	14	7	-1	7
1	12	3	4	15	5
1	12	15	5	8	7
1	12	8	7	-1	7
1	12	14	5	6	5
1	12	6	5	11	5
1	12	11	5	8	5
1	12	8	5	15	5
1	12	15	5	18	7
1	12	18	7	8	5
1	12	8	5	15	8
1	12	15	8	8	5
1	12	8	5	14	5
1	12	14	5	6	7
1	12	6	7	5	4
1	12	5	4	14	4
1	13	14	4	3	4
1	13	3	4	16	4
1	13	16	4	5	4
1	13	5	4	8	5
1	13	8	5	16	4
1	13	16	4	14	5
1	13	14	5	15	8
1	13	8	8	6	9
1	13	6	9	8	8
1	13	8	8	14	7
1	13	14	7	6	8
1	14	6	8	5	9
1	14	5	9	0	9
1	14	1	1	16	4
1	14	16	4	14	5
1	14	14	5	15	5
1	14	15	5	3	5
1	15	3	5	14	5
1	15	14	5	15	8
1	15	15	8	3	5
1	15	3	5	8	5
1	15	8	5	6	7
1	15	6	7	14	5
1	15	14	5	14	7
1	15	14	7	8	7
1	15	8	7	-1	7
1	16	1	1	5	3
1	16	5	3	5	1
1	16	5	1	16	4
1	16	16	4	8	4
1	16	8	4	14	5
1	17	14	5	-1	5
1	17	3	1	18	4
1	17	18	4	-1	4
1	18	6	2	15	2
1	18	15	2	14	4
1	18	14	4	11	3
1	18	11	3	5	4
1	18	5	4	16	4
1	18	16	4	3	4
1	18	3	4	7	8
1	18	7	8	-1	7
1	19	5	4	11	3
1	19	11	3	14	4
1	19	14	4	16	4
1	19	16	4	16	5
1	19	16	5	18	5
1	19	18	5	14	5
1	19	14	5	16	5
1	19	16	5	5	4
1	19	5	4	11	3
1	19	11	3	11	5
1	19	11	5	6	6
1	19	6	6	11	5
1	19	11	5	14	5
1	19	14	5	15	8
1	19	15	8	0	9
1	20	3	4	18	8
1	20	18	8	14	5
1	20	14	5	8	5
1	20	8	5	11	5
1	20	11	5	6	6
1	20	6	6	11	5
1	20	11	5	8	5
1	20	8	5	3	5
1	20	3	5	3	7
1	20	3	7	7	7
1	20	7	7	18	7
1	20	18	7	-1	7
1	21	16	7	8	7
1	21	8	7	16	7
1	21	16	7	14	8
1	21	14	8	-1	8
1	21	5	5	3	5
1	21	3	5	5	4
1	21	5	4	14	5
1	21	14	5	8	5
1	21	8	5	16	5
1	21	16	5	3	5
1	21	3	5	15	8
1	21	15	8	3	5
1	22	3	5	11	6
1	22	11	6	8	6
1	22	8	6	6	6
1	22	6	6	11	6
1	22	11	6	8	6
1	22	8	6	6	6
1	22	6	6	0	9
1	22	8	6	6	6
1	22	6	6	14	7
1	22	14	7	-1	9
1	22	16	4	1	4
1	22	1	4	-1	5
1	23	16	5	18	5
1	23	18	5	8	7
1	23	8	7	-1	7
1	23	5	1	1	1
1	23	1	1	-1	5
1	23	8	5	16	5
1	23	16	5	8	5
1	23	8	5	6	5
1	23	6	5	8	5
1	23	8	5	18	7
1	23	18	7	-1	7
1	24	16	5	14	5
1	24	14	5	8	7
1	24	8	7	6	6
1	24	6	6	14	7
1	24	14	7	-1	6
1	25	5	4	16	4
1	25	16	4	8	5
1	25	8	5	18	8
1	25	18	8	18	7
1	25	18	7	7	9
1	25	7	9	0	9
1	25	11	3	14	5
1	25	14	5	5	4
1	25	5	4	3	4
1	25	3	4	8	5
1	25	8	5	6	7
1	25	6	7	15	8
1	25	15	8	-1	8
1	25	8	5	6	8
1	25	6	8	6	7
1	25	6	7	15	8
1	25	15	8	18	1
1	25	18	1	0	9
1	26	6	5	15	5
1	27	15	5	6	5
1	27	6	5	15	8
1	27	15	8	14	5
1	27	14	5	16	7
1	27	16	7	6	7
1	27	6	7	11	3
1	27	11	3	8	7
1	27	8	7	14	5
1	27	14	5	15	8
1	27	15	8	16	7
1	27	16	7	6	7
1	27	6	7	15	8
1	27	15	8	16	9
1	27	16	9	-1	9
1	29	8	5	-1	7
1	29	8	4	16	4
1	29	16	4	8	4
1	29	8	4	8	5
1	29	8	5	15	5
1	30	15	5	3	4
1	30	3	4	16	4
1	30	16	4	16	5
1	30	16	5	18	5
1	30	18	5	11	5
1	30	11	5	18	5
1	30	18	5	6	5
1	30	6	5	14	5
1	30	14	5	18	8
1	30	18	8	8	7
1	30	8	7	14	7
1	30	14	7	0	9
1	30	3	4	-1	5
1	31	6	5	14	5
1	31	14	5	7	7
1	31	7	7	-1	7
1	31	7	7	8	7
1	31	8	7	-1	7
1	32	0	0	-2	1
1	32	6	1	7	3
1	33	14	5	18	5
1	33	18	5	8	5
1	33	8	5	-1	7
1	34	0	0	-2	1
1	35	0	0	-2	1
1	35	1	1	18	4
1	35	18	4	8	4
1	35	8	4	11	3
1	35	11	3	11	5
1	35	11	5	6	6
1	35	6	6	-1	7
1	35	16	3	6	7
1	35	6	7	-1	7
1	35	8	7	14	7
1	35	14	7	18	7
