Half	Min	Passer	Pos	Rec	Region
1	1	1	1	-1	5
1	1	3	5	14	5
1	1	14	5	16	5
1	2	16	5	-1	5
1	2	16	5	8	5
1	2	8	5	5	4
1	2	5	4	11	5
1	2	11	5	6	5
1	2	6	5	-1	5
1	2	11	5	6	5
1	2	6	5	6	7
1	2	6	7	18	7
1	2	18	7	-1	7
1	2	6	7	8	7
1	2	8	7	16	7
1	2	16	7	-1	7
1	2	16	7	8	5
1	2	8	5	18	7
1	2	18	7	14	8
1	2	14	8	15	8
1	3	15	8	18	8
1	3	18	8	15	8
1	3	15	8	-1	9
1	3	3	5	14	7
1	3	14	7	-1	7
1	3	3	5	-1	5
1	3	16	5	3	5
1	3	3	5	18	5
1	3	18	5	3	5
1	3	3	5	5	4
1	3	5	4	14	5
1	3	14	5	18	7
1	3	18	7	-1	9
1	4	15	5	14	5
1	4	14	5	15	8
1	4	15	8	-1	7
1	4	15	8	8	8
1	4	8	8	15	8
1	4	15	8	-1	7
1	5	8	8	15	9
1	5	15	9	3	9
1	5	3	9	-1	9
1	5	11	6	6	6
1	5	6	6	16	6
1	5	16	6	14	5
1	5	14	5	3	5
1	5	3	5	8	5
1	5	8	5	15	5
1	5	15	5	16	5
1	6	16	5	14	5
1	6	14	5	8	7
1	6	8	7	8	8
1	6	8	8	-1	9
1	6	15	5	5	4
1	6	5	4	1	1
1	7	1	1	-1	6
1	7	11	5	6	5
1	7	6	5	-1	5
1	7	11	5	18	6
1	7	18	6	-1	6
1	7	5	3	-1	3
1	7	8	3	14	3
1	7	14	3	16	4
1	8	16	4	-1	4
1	8	1	1	15	5
1	8	15	5	-1	5
1	8	16	2	14	4
1	8	14	4	6	5
1	8	6	5	-1	5
1	9	15	3	6	5
1	9	6	5	16	5
1	9	16	5	18	5
1	9	18	5	11	5
1	9	11	5	11	7
1	9	11	7	-1	7
1	9	14	7	8	7
1	9	8	7	-1	9
1	10	15	2	5	4
1	10	5	4	-1	5
1	10	5	4	-1	5
1	10	11	3	-1	5
1	10	11	5	7	7
1	10	7	7	8	5
1	10	8	5	14	5
1	10	14	5	3	4
1	11	3	4	6	5
1	11	6	5	-1	5
1	11	15	5	8	5
1	11	8	5	5	4
1	11	5	4	5	5
1	11	5	5	18	5
1	11	18	5	7	7
1	11	7	7	6	7
1	11	6	7	15	7
1	11	15	7	15	9
1	11	15	9	-1	9
1	12	8	8	6	9
1	12	6	9	8	8
1	12	8	8	14	8
1	12	14	8	7	9
1	12	7	9	0	9
1	13	1	1	-1	7
1	13	11	3	11	5
1	13	11	5	8	5
1	13	8	5	18	5
1	13	18	5	14	4
1	13	14	4	8	5
1	13	8	5	3	4
1	13	3	4	16	4
1	13	16	4	8	4
1	13	8	4	18	5
1	13	18	5	6	5
1	13	6	5	8	5
1	13	8	5	11	5
1	13	11	5	5	3
1	13	5	3	8	5
1	14	8	5	16	4
1	14	16	4	5	4
1	14	5	4	-1	6
1	14	5	3	14	3
1	14	14	3	3	2
1	14	3	2	15	5
1	14	15	5	14	5
1	14	14	5	3	4
1	14	3	4	1	1
1	14	1	1	-1	7
1	15	3	4	16	4
1	15	16	4	5	4
1	15	5	4	11	4
1	15	11	4	-1	3
1	16	16	3	-1	6
1	16	11	3	-1	3
1	18	1	1	-1	5
1	18	15	4	11	4
1	18	11	4	-1	4
1	18	6	4	11	4
1	18	11	4	5	4
1	18	5	4	-1	6
1	19	15	2	-1	5
1	20	3	3	-1	3
